numberIndependentVariables,"""=""",9,,,,,,,,,,,,
velocity,elevator,aileron,rudder,p,q,r,alpha,beta,Cx,Cy,Cz,Cl,Cm,Cn
100,-20,-10,-30,-90,-30,30,-15,-4,0.058777038,-0.009672054,0.023830555,4.92E-05,0.006551365,0.001446847
100,-20,-10,-30,-90,-30,30,-15,-2,0.058906198,-0.009814456,0.023640062,6.01E-05,0.006484918,0.001470263
100,-20,-10,-30,-90,-30,30,-15,0,0.059035304,-0.009956957,0.023450793,7.10E-05,0.006418487,0.001493696
100,-20,-10,-30,-90,-30,30,-15,2,0.059026792,-0.010185989,0.023635493,8.38E-05,0.006444242,0.001526148
100,-20,-10,-30,-90,-30,30,-15,4,0.059018074,-0.010414809,0.023821344,9.66E-05,0.006469998,0.001558574
100,-20,-10,-30,-90,-30,30,-15,6,0.05900915,-0.010643417,0.024008348,0.000109481,0.006495756,0.001590973
100,-20,-10,-30,-90,-30,30,-15,8,0.059000021,-0.010871813,0.024196512,0.00012232,0.006521518,0.001623345
100,-20,-10,-30,-90,-30,30,-10,-8,0.058528489,-0.009043664,0.024040362,2.15E-05,0.006621633,0.001339626
100,-20,-10,-30,-90,-30,30,-10,-6,0.05865773,-0.009185905,0.023847304,3.25E-05,0.006555112,0.001363012
100,-20,-10,-30,-90,-30,30,-10,-4,0.058786919,-0.009328246,0.023655475,4.34E-05,0.006488607,0.001386415
100,-20,-10,-30,-90,-30,30,-10,-2,0.058916054,-0.009470687,0.023464873,5.43E-05,0.006422119,0.001409835
100,-20,-10,-30,-90,-30,30,-10,0,0.059045137,-0.009613226,0.023275494,6.52E-05,0.006355647,0.001433273
100,-20,-10,-30,-90,-30,30,-10,2,0.059036607,-0.009842265,0.023460087,7.81E-05,0.006381362,0.001465728
100,-20,-10,-30,-90,-30,30,-10,4,0.05902787,-0.010071093,0.023645829,9.09E-05,0.006407077,0.001498157
100,-20,-10,-30,-90,-30,30,-10,6,0.059018928,-0.010299709,0.023832726,0.000103739,0.006432795,0.00153056
100,-20,-10,-30,-90,-30,30,-10,8,0.05900978,-0.010528113,0.024020781,0.000116581,0.006458516,0.001562936
100,-20,-10,-30,-90,-30,30,-5,-8,0.058528791,-0.008662472,0.023869009,1.66E-05,0.006560563,0.001274276
100,-20,-10,-30,-90,-30,30,-5,-6,0.058658007,-0.008804753,0.023675828,2.76E-05,0.006493997,0.001297666
100,-20,-10,-30,-90,-30,30,-5,-4,0.05878717,-0.008947134,0.023483877,3.85E-05,0.006427446,0.001321074
100,-20,-10,-30,-90,-30,30,-5,-2,0.05891628,-0.009089615,0.023293152,4.94E-05,0.006360912,0.001344499
100,-20,-10,-30,-90,-30,30,-5,0,0.059045337,-0.009232195,0.02310365,6.03E-05,0.006294394,0.001367941
100,-20,-10,-30,-90,-30,30,-5,2,0.059036787,-0.009461241,0.023288122,7.32E-05,0.006320064,0.0014004
100,-20,-10,-30,-90,-30,30,-5,4,0.05902803,-0.009690075,0.023473743,8.60E-05,0.006345733,0.001432832
100,-20,-10,-30,-90,-30,30,-5,6,0.059019068,-0.009918698,0.023660518,9.89E-05,0.006371405,0.001465238
100,-20,-10,-30,-90,-30,30,-5,8,0.0590099,-0.01014711,0.023848451,0.000111699,0.00639708,0.001497618
100,-20,-10,-30,-90,-30,30,0,-8,0.058527258,-0.008279861,0.023698906,1.17E-05,0.006500027,0.00120871
100,-20,-10,-30,-90,-30,30,0,-6,0.058656448,-0.008422182,0.023505604,2.27E-05,0.006433414,0.001232104
100,-20,-10,-30,-90,-30,30,0,-4,0.058785586,-0.008564604,0.02331353,3.36E-05,0.006366818,0.001255516
100,-20,-10,-30,-90,-30,30,0,-2,0.05891467,-0.008707125,0.023122682,4.45E-05,0.006300238,0.001278945
100,-20,-10,-30,-90,-30,30,0,0,0.059043701,-0.008849746,0.022933057,5.54E-05,0.006233674,0.001302392
100,-20,-10,-30,-90,-30,30,0,2,0.059035131,-0.009078798,0.023117408,6.83E-05,0.006259298,0.001334854
100,-20,-10,-30,-90,-30,30,0,4,0.059026355,-0.009307639,0.023302908,8.11E-05,0.006284922,0.00136729
100,-20,-10,-30,-90,-30,30,0,6,0.059017372,-0.009536269,0.023489561,9.40E-05,0.006310548,0.0013997
100,-20,-10,-30,-90,-30,30,0,8,0.059008183,-0.009764688,0.023677373,0.000106813,0.006336177,0.001432083
100,-20,-10,-30,-90,-30,30,5,-8,0.058369205,-0.00797428,0.023919662,5.05E-06,0.006584259,0.001153174
100,-20,-10,-30,-90,-30,30,5,-6,0.05849838,-0.008116603,0.023726219,1.60E-05,0.006517594,0.001176568
